movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score
Brown Sugar,58,2002-10-11,36120336.12,2002-10-11,108.0,PG-13,Romantic Comedy,Fox Searchlight,Rick Famuyiwa,,10560000.0,1378.0,"Taye Diggs,Sanaa Lathan,Mos Def,Boris Kodjoe,Queen Latifah",,,,10,2002,1.32,26212.145225,40832176.4333
Bruce Almighty,46,2003-05-23,313249746.69,2003-05-23,101.0,PG-13,Fantasy Comedy,Universal,Tom Shadyac,"Gary Barber, ,(executive),Roger Birnbaum, ,(executive),Michael Bostick,Jim Carrey,Steve Koren,Mark O'Keefe,Tom Shadyac",104490000.0,3549.0,"Jim Carrey,Morgan Freeman,Jennifer Aniston,Steve Carell","Steve Koren,Mark O'Keefe,Steve Oedekerk",,John Debney,5,2003,1.29,88264.2284277,126022567.273
Bubble Boy,41,2001-08-24,6710583.32,2001-08-24,84.0,PG-13,Comedy,Buena Vista,,Beau Flynn,17420000.0,1605.0,"Zach Galifianakis*,Jake Gyllenhaal","Ken Daurio,Cinco Paul",,John Ottman,8,2001,1.34,4181.04879751,54051053.38
Bucky Larson: Born to Be a Star,9,2011-09-09,2681158.7,2011-09-09,96.0,R,Comedy,Sony / Columbia,Tom Brady,"Allen Covert,Jack Giarraputo,Adam Sandler,Nick Swardson",10600000.0,1500.0,"Keegan-Michael Key,Nick Swardson,Stephen Dorff,Christina Ricci","Allen Covert,Adam Sandler,Nick Swardson",,,9,2011,1.06,1787.43913333,109398676.205
Buffalo Soldiers,56,2003-07-25,457203.09,2003-07-25,98.0,R,Unknown,Miramax,,,19350000.0,24.0,"Joaquin Phoenix,Ed Harris,Scott Glenn,Anna Paquin,Idris Elba",,,David Holmes,7,2003,1.29,19050.12875,153401323.087
Burlesque,47,2010-11-24,42990313.95,2010-11-24,100.0,PG-13,Musical,Sony / Screen Gems,Steven Antin,,59950000.0,3037.0,"Terrence Jenkins,Cher,Christina Aguilera,Eric Dane,Cam Gigandet,Julianne Hough,Alan Cumming,Peter Gallagher,Kristen Bell,Stanley Tucci,Dianna Agron",Steven Antin,,Christophe Beck,11,2010,1.09,14155.5199045,100020347.867
Burn After Reading,63,2008-09-12,66994435.17,2008-09-12,97.0,R,Comedy,Focus Features,,"Tim Bevan, ,(executive),Ethan Coen,Joel Coen,Eric Fellner, ,(executive)",41070000.0,2657.0,"George Clooney,Frances McDormand,Brad Pitt,John Malkovich,Tilda Swinton","Ethan Coen,Joel Coen",,Carter Burwell,9,2008,1.11,25214.3150809,100167188.975
Burnt,42,2015-10-30,13651946.0,2015-10-30,100.0,R,Comedy,Weinstein Company,John Wells,"Michael Shamberg,Stacey Sher",20000000.0,3003.0,"Bradley Cooper,Sienna Miller,Alicia Vikander,Jamie Dornan,Lily James,Emma Thompson,Daniel Bruhl",Steven Knight,,,10,2015,1.0,4546.1025641,201151353.0
Cadillac Records,65,2008-12-05,9097061.61,2008-12-05,108.0,R,Music Drama,Sony / Columbia,,,13320000.0,701.0,"Tammy Blanchard,Eric Bogosian,Adrien Brody,Cedric the Entertainer,Emmanuelle Chriqui,Mos Def,Shiloh Fernandez,Beyonce Knowles,Norman Reedus,Gabrielle Union,Jeffrey Wright",,,Terence Blanchard,12,2008,1.11,12977.2633524,139205704.617
Calendar Girls,60,2003-12-19,40043869.11,2003-12-19,108.0,PG-13,Comedy,Buena Vista,Nigel Cole,,12900000.0,967.0,"Helen Mirren,Julie Walters","Tim Firth,Juliette Towhidi",Ashley Rowe,Patrick Doyle,12,2003,1.29,41410.4127301,22792001.3833
Camp X-Ray,54,2014-10-17,13435.02,2014-10-17,117.0,R,Drama,IFC,,,1010000.0,7.0,"Kristen Stewart,John Carroll Lynch",,,,10,2014,1.01,1919.28857143,155287074.363
Capote,88,2005-09-30,35075646.6,2005-09-30,114.0,R,Drama,Sony Classics,Bennett Miller,"Philip Seymour Hoffman, ,(executive)",8540000.0,1239.0,"Chris Cooper,Amy Ryan,Philip Seymour Hoffman,Catherine Keener,Clifton Collins, Jr.",,,Mychael Danna,9,2005,1.22,28309.6421308,107595032.329
Captain America: The Winter Soldier,70,2014-04-04,262364237.72,2014-04-04,136.0,PG-13,Action / Adventure,Buena Vista,,"Victoria Alonso, ,(executive),Louis D'Esposito, ,(executive),Kevin Feige,Alan Fine, ,(executive),Michael Grillo, ,(executive),Stan Lee, ,(executive)",171700000.0,3938.0,"Chris Evans,Scarlett Johansson,Samuel L. Jackson,Robert Redford,Sebastian Stan,Anthony Mackie,Cobie Smulders,Frank Grillo,Hayley Atwell,Emily VanCamp*,Toby Jones*","Christopher Markus,Stephen McFeely",,Henry Jackman,4,2014,1.01,66623.7272016,190661940.277
Captain Corelli's Mandolin,36,2001-08-17,34228819.3,2001-08-17,129.0,R,War Romance,Universal,John Madden,"Tim Bevan,Eric Fellner",76380000.0,1612.0,"Nicolas Cage,Penelope Cruz,Christian Bale",,John Toll,Stephen Warbeck,8,2001,1.34,21233.758871,70857086.5873
Captain Phillips,83,2013-10-11,109242872.1,2013-10-11,134.0,PG-13,Drama,Sony / Columbia,Paul Greengrass,"Dana Brunetti,Michael De Luca,Scott Rudin,Kevin Spacey, ,(executive)",56100000.0,3143.0,"Tom Hanks,Catherine Keener,Barkhad Abdi",Billy Ray,,Henry Jackman,10,2013,1.02,34757.5157811,179009076.918
Cars,73,2006-06-09,288017918.76,2006-06-09,116.0,G,Animation,Buena Vista,John Lasseter,Darla K. Anderson,141600000.0,3988.0,"Owen Wilson, ,(Voice),Paul Newman, ,(Voice),Bonnie Hunt, ,(Voice),Larry the Cable Guy, ,(Voice),Michael Keaton*, ,(Voice)","Dan Fogelman,John Lasseter, ,(story)",,Randy Newman,6,2006,1.18,72221.1431194,163900353.013
Case 39,25,2010-10-01,14455417.59,2010-10-01,109.0,R,Horror Thriller,Paramount Vantage,Christian Alvart,"Steve Golin,Kevin Misher",28340000.0,2212.0,"Renee Zellweger,Jodelle Ferland,Ian McShane,Bradley Cooper",Ray Wright,,,10,2010,1.09,6534.99891049,141136734.103
Casino Royale,80,2006-11-17,197586232.8,2006-11-17,144.0,PG-13,Action,Sony / Columbia,Martin Campbell,"Barbara Broccoli,Michael G. Wilson",177000000.0,3443.0,"Daniel Craig,Judi Dench,Eva Green,Jeffrey Wright,Mads Mikkelsen,Caterina Murino","Paul Haggis,Neal Purvis,Robert Wade",,David Arnold,11,2006,1.18,57387.8108626,90329426.2738
Cast Away,73,2000-12-22,322412355.96,2000-12-22,143.0,PG-13,Drama,Fox,Robert Zemeckis,Tom Hanks,124200000.0,3061.0,"Tom Hanks,Helen Hunt",,"Don Burgess, ,(director of photography)",Alan Silvestri,12,2000,1.38,105329.093747,170733769.754
Catch and Release,43,2007-01-26,17869908.65,2007-01-26,124.0,PG-13,Romantic Comedy,Sony / Columbia,Susannah Grant,"Ryan Kavanaugh, ,(executive)",28750000.0,1622.0,"Jennifer Garner,Timothy Olyphant,Kevin Smith",Susannah Grant,John Lindley,,1,2007,1.15,11017.2063194,79316651.944
Catch Me If You Can,76,2002-12-25,217292263.32,2002-12-25,140.0,PG-13,Comedy / Drama,DreamWorks,Steven Spielberg,Steven Spielberg,68640000.0,3225.0,"Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Amy Adams,James Brolin,Jennifer Garner*,Elizabeth Banks*",Jeff Nathanson,,John Williams,12,2002,1.32,67377.4459907,532892415.0
Catch That Kid,33,2004-02-06,21046786.74,2004-02-06,92.0,PG,Family Adventure,Fox,,Andrew Lazar,15120000.0,2848.0,"Kristen Stewart,Max Thieriot",,,,2,2004,1.26,7390.02343399,127244480.88
Cats & Dogs,47,2001-07-04,125136590.1,2001-07-04,87.0,PG,Family Adventure,Warner Bros.,,"Chris Bender, ,(executive),Andrew Lazar,J.C. Spink, ,(executive)",80400000.0,3040.0,"Michael Clarke Duncan*, ,(Voice),Tobey Maguire*, ,(Voice),Alec Baldwin*, ,(Voice),Susan Sarandon*, ,(Voice)","Glenn Ficarra,John Requa",,John Debney,7,2001,1.34,41163.3520066,166008239.54
Cats & Dogs: The Revenge of Kitty Galore,30,2010-07-30,47508470.77,2010-07-30,82.0,PG,Family Comedy,Warner Bros.,Brad Peyton,"Polly Johnsen,Andrew Lazar",92650000.0,3705.0,"Christina Applegate,Michael Clarke Duncan, ,(Voice),Neil Patrick Harris,Sean Hayes ,(Voice),James Marsden, ,(Voice),Bette Midler, ,(Voice),Nick Nolte ,(Voice),Chris O'Donnell,Joe Pantoliano ,(Voice)","Ron Bencich,Ron J. Friedman",,Christopher Lennertz,7,2010,1.09,12822.7991282,168209707.068
Catwoman,27,2004-07-23,50654997.54,2004-07-23,104.0,PG-13,Action / Adventure,Warner Bros.,,Denise Di Novi,126000000.0,3117.0,"Halle Berry,Sharon Stone,Benjamin Bratt",,,Klaus Badelt,7,2004,1.26,16251.2022907,139974354.042
Cellular,60,2004-09-10,40324561.2,2004-09-10,95.0,PG-13,Thriller,New Line,David R. Ellis,Dean Devlin,31500000.0,2763.0,"Kim Basinger,Chris Evans,Jason Statham,William H. Macy,Jessica Biel",Chris Morgan,,John Ottman,9,2004,1.26,14594.4846906,74362153.52
Centurion,62,2010-08-27,134691.3,2010-08-27,97.0,R,Action / Adventure,Magnolia,Neil Marshall,,13080000.0,19.0,"Michael Fassbender,Dominic West,Olga Kurylenko,Imogen Poots*",Neil Marshall,,Ilan Eshkeri,8,2010,1.09,7089.01578947,116027090.1
Changeling,63,2008-10-24,39671180.22,2008-10-24,140.0,R,Thriller,Universal,Clint Eastwood,"Robert Lorenz,Tim Moore, ,(executive),Clint Eastwood,Brian Grazer,Ron Howard",61050000.0,1896.0,"Angelina Jolie,John Malkovich,Jeffrey Donovan,Colm Feore,Amy Ryan",,,,10,2008,1.11,20923.6182595,87234612.2174
Changing Lanes,69,2002-04-12,88200483.36,2002-04-12,98.0,R,Thriller,Paramount,,Scott Rudin,59400000.0,2642.0,"Ben Affleck,Samuel L. Jackson,Amanda Peet,Toni Collette,Sydney Pollack",,,David Arnold,4,2002,1.32,33383.9831037,177298304.2
Chappie,41,2015-03-06,31569268.0,2015-03-06,120.0,R,Sci-Fi Action,Sony / Columbia,Neill Blomkamp,,49000000.0,3201.0,"Dev Patel,Sharlto Copley, ,(Voice),Sigourney Weaver,Hugh Jackman",Neill Blomkamp,,Hans Zimmer,3,2015,1.0,9862.31427679,153994870.926
Charlie and the Chocolate Factory,72,2005-07-15,251880072.72,2005-07-15,106.0,PG,Family Adventure,Warner Bros.,Tim Burton,Brad Grey,183000000.0,3790.0,"Johnny Depp,Freddie Highmore,Helena Bonham Carter,Christopher Lee*,AnnaSophia Robb*",John August,,Danny Elfman,7,2005,1.22,66459.1220897,79124410.6615
Charlie Bartlett,54,2008-02-22,4386385.89,2008-02-22,97.0,R,Comedy,MGM,,Sidney Kimmel,13320000.0,1122.0,"Anton Yelchin,Robert Downey, Jr.,Hope Davis,Kat Dennings",,,Christophe Beck,2,2008,1.11,3909.43483957,108161958.05
Charlie St. Cloud,37,2010-07-30,33967174.05,2010-07-30,90.0,PG-13,Drama,Universal,Burr Steers,Marc Platt,47960000.0,2725.0,"Zac Efron,Kim Basinger,Amanda Crew,Ray Liotta,Donal Logue",,,Rolfe Kent,7,2010,1.09,12465.018,70107454.48
Charlie Wilson's War,69,2007-12-21,76660259.25,2007-12-21,97.0,R,War Drama,Universal,Mike Nichols,"Gary Goetzman,Tom Hanks,Ryan Kavanaugh, ,(executive),Jeff Skoll, ,(executive)",86250000.0,2594.0,"Tom Hanks,Julia Roberts,Philip Seymour Hoffman,Amy Adams,Emily Blunt,John Slattery*",Aaron Sorkin,Stephen Goldblatt,James Newton Howard,12,2007,1.15,29552.9141288,179090996.949
Charlie's Angels,52,2000-11-03,172921652.1,2000-11-03,98.0,PG-13,Action Comedy,Sony / Columbia,McG,,128340000.0,3037.0,"Cameron Diaz,Drew Barrymore,Lucy Liu,Bill Murray,Sam Rockwell,Luke Wilson*,Matt LeBlanc*,Melissa McCarthy*","John August,Ed Solomon",,Ed Shearmur,11,2000,1.38,56938.3115245,116330676.347
Charlie's Angels: Full Throttle,48,2003-06-27,130070843.19,2003-06-27,105.0,PG-13,Action Comedy,Sony / Columbia,McG,"Patrick Crowley, ,(executive)",154800000.0,3485.0,"Cameron Diaz,Drew Barrymore,Lucy Liu,Bernie Mac,Crispin Glover,Justin Theroux,Robert Patrick,Demi Moore,Rodrigo Santoro*,Shia LaBeouf*,Matt LeBlanc*,Luke Wilson*,John Cleese*,Carrie Fisher*",John August,,Ed Shearmur,6,2003,1.29,37323.054,204843345.0
Chasing Liberty,46,2004-01-09,15366488.76,2004-01-09,111.0,PG-13,Romantic Comedy,Warner Bros.,,"Broderick Johnson,Andrew A. Kosove",28980000.0,2400.0,"Mandy Moore,Matthew Goode,Jeremy Piven",,Ashley Rowe,,1,2004,1.26,6402.70365,36840346.06
Chasing Mavericks,45,2012-10-26,6242866.24,2012-10-26,111.0,PG,Sports Drama,Fox,,"Gerard Butler, ,(executive),Curtis Hanson",20800000.0,2030.0,"Gerard Butler,Jonny Weston,Elizabeth Shue",Kario Salem,,Chad Fischer,10,2012,1.04,3075.3035665,80393059.7857
Cheaper by the Dozen,46,2003-12-25,178812761.76,2003-12-25,98.0,PG,Family Comedy,Fox,Shawn Levy,Robert Simonds,51600000.0,3307.0,"Steve Martin,Bonnie Hunt,Piper Perabo,Tom Welling,Hilary Duff,Ashton Kutcher","Joel Cohen,Sam Harper,Alec Sokolow",Jonathan Brown,Christophe Beck,12,2003,1.29,54070.9893438,99056070.206
Chicago,82,2002-12-27,225307523.76,2002-12-27,107.0,PG-13,Musical,Miramax,Rob Marshall,"Don Carmody, ,(co-producer),Neil Meron, ,(executive),Craig Zadan, ,(executive)",59400000.0,2701.0,"Renee Zellweger,Catherine Zeta-Jones,Richard Gere,Queen Latifah,John C. Reilly,Lucy Liu*, ,(Cameo)",Bill Condon,"Dion Beebe, ,(director of photography)",Danny Elfman,12,2002,1.32,83416.3360829,99260141.0957
Chicken Little,48,2005-11-04,165171731.3,2005-11-04,81.0,G,Animation,Buena Vista,,,183000000.0,3658.0,"Zach Braff*, ,(Voice),Garry Marshall*, ,(Voice),Patrick Stewart*, ,(Voice)","Ron Bencich,Ron J. Friedman",,John Debney,11,2005,1.22,45153.5624112,164676239.692
Chicken Run,88,2000-06-21,147431698.32,2000-06-23,84.0,G,Animation,DreamWorks,Peter Lord,"Jeffrey Katzenberg, ,(Executive),Peter Lord",62100000.0,2953.0,"Mel Gibson, ,(Voice),Imelda Staunton*, ,(Voice)",Karey Kirkpatrick,,"Harry Gregson-Williams,John Powell",6,2000,1.38,49926.0746089,146745746.246
Children of Men,84,2006-12-25,41951811.94,2006-12-25,109.0,R,Sci-Fi Thriller,Universal,Alfonso Cuaron,"Marc Abraham,Eric Newman",89680000.0,1524.0,"Clive Owen,Julianne Moore,Michael Caine,Chiwetel Ejiofor","Mark Fergus,Hawk Ostby",,,12,2006,1.18,27527.4356562,82755235.9354
Chill Factor,33,1999-09-01,16107471.38,1999-09-03,102.0,R,Action Comedy,Warner Bros.,,James G. Robinson,100100000.0,2558.0,"Cuba Gooding, Jr.,Skeet Ulrich",,,"Klaus Badelt*, ,(Additional music),John Powell,Hans Zimmer",9,1999,1.43,6296.9004613,103046663.0
Chloe,48,2010-03-26,3352027.95,2010-03-26,96.0,R,Drama,Sony Classics,Atom Egoyan,"Joe Medjuck,Tom Pollock, ,(executive),Jason Reitman",15260000.0,350.0,"Julianne Moore,Liam Neeson,Amanda Seyfried,Max Thieriot",,,Mychael Danna,3,2010,1.09,9577.22271429,130412832.824
Chocolat,64,2000-12-15,98682920.94,2000-12-15,105.0,PG-13,Romance,Miramax,Lasse Hallstrom,,34500000.0,1928.0,"Johnny Depp,Judi Dench,Alfred Molina,Carrie-Anne Moss",,,Rachel Portman,12,2000,1.38,51184.0876245,95770590.5333
Christmas with the Kranks,22,2004-11-24,92963479.14,2004-11-24,94.0,PG,Family Comedy,Sony (Revolution),Joe Roth,Chris Columbus,75600000.0,3416.0,Tim Allen,,"Don Burgess, ,(director of photography)",John Debney,11,2004,1.26,27214.1332377,122044110.053
Cinderella Man,69,2005-06-03,75212891.42,2005-06-03,144.0,PG-13,Sports Drama,Universal,Ron Howard,"Brian Grazer,Ron Howard,Penny Marshall",107360000.0,2820.0,"Russell Crowe,Renee Zellweger,Paul Giamatti,Rosemarie DeWitt*",Akiva Goldsman,,Thomas Newman,6,2005,1.22,26671.2380922,103847414.261
Cirque du Freak: The Vampire's Assistant,43,2009-10-23,15395161.65,2009-10-23,108.0,PG-13,Fantasy,Universal,Paul Weitz,,44400000.0,2754.0,"John C. Reilly,Ken Watanabe,Josh Hutcherson,Patrick Fugit,Ray Stevenson,Willem Dafoe,Orlando Jones,Salma Hayek",Brian Helgeland,,Stephen Trask,10,2009,1.11,5590.10953159,120061042.517
City by the Sea,50,2002-09-06,29632520.28,2002-09-06,108.0,R,Crime Drama,Warner Bros.,Michael Caton-Jones,"Don Carmody, ,(executive producer),Brad Grey",52800000.0,2575.0,"Robert DeNiro,Frances McDormand,James Franco,Eliza Dushku",,,,9,2002,1.32,11507.774866,272480726.7
City Island,66,2010-03-19,7271429.24,2010-03-19,100.0,PG-13,Comedy,Anchor Bay Films,,,6540000.0,269.0,"Andy Garcia,Emily Mortimer,Alan Arkin,Steven Strait,Ezra Miller",,,,3,2010,1.09,27031.3354647,71717047.3917
City of Ember,58,2008-10-10,8739037.77,2008-10-10,95.0,PG,Family Adventure,Fox,Gil Kenan,"Gary Goetzman,Tom Hanks",61050000.0,2023.0,"Saoirse Ronan,Bill Murray,Tim Robbins,Martin Landau",,,Andrew Lockington,10,2008,1.11,4319.84071676,79107682.1809
Clear and Present Danger,74,1994-08-03,122187717.0,1994-08-05,141.0,PG-13,Action Thriller,Paramount,Phillip Noyce,,62000000.0,2433.0,"Harrison Ford,Willem Dafoe,Benjamin Bratt*,Thora Birch*,Clark Gregg*",Steven Zaillian,,James Horner,8,1994,1.0,50221.0098644,205980169.714
Clerks II,65,2006-07-21,28494720.24,2006-07-21,97.0,R,Comedy,MGM (Weinstein),Kevin Smith,,5900000.0,2150.0,"Rosario Dawson,Kevin Smith,Jason Mewes,Ben Affleck*, ,(Cameo)",Kevin Smith,,,7,2006,1.18,13253.3582512,108376026.936
Click,45,2006-06-23,162079646.94,2006-06-23,97.0,PG-13,Fantasy Comedy,Sony (Revolution),Frank Coraci,"Jack Giarraputo,Tim Herlihy, ,(executive),Steve Koren,Neal H. Moritz,Mark O'Keefe,Adam Sandler",97350000.0,3764.0,"Adam Sandler,Kate Beckinsale,Christopher Walken,Nick Swardson*,Katie Cassidy*,Jonah Hill*,Rob Schneider*, ,(Cameo)","Steve Koren,Mark O'Keefe",,Rupert Gregson-Williams,6,2006,1.18,43060.4800584,121378539.822
Cliffhanger,60,1993-05-28,84049211.0,1993-05-28,113.0,R,Action Thriller,TriStar,Renny Harlin,,70000000.0,2431.0,Sylvester Stallone,"Michael France,Sylvester Stallone",,Trevor Jones,5,1993,1.0,34573.9247223,50464257.5
Close Your Eyes,45,2004-04-23,52153.92,2004-04-23,108.0,R,Unknown,First Look,,,12600000.0,17.0,Goran Visnjic,,Peter Sova,,4,2004,1.26,3067.87764706,14724090.06
Closer,65,2004-12-03,42824573.82,2004-12-03,98.0,R,Romance,Sony / Columbia,Mike Nichols,"Mike Nichols,Scott Rudin, ,(executive)",34020000.0,1098.0,"Julia Roberts,Jude Law,Natalie Portman,Clive Owen",,Stephen Goldblatt,,12,2004,1.26,39002.3440984,224479924.504
Cloudy with a Chance of Meatballs,66,2009-09-18,138606005.25,2009-09-18,81.0,PG,Animation,Sony / Columbia,,,111000000.0,3119.0,"Bill Hader ,(Voice),Anna Faris, ,(Voice),James Caan ,(Voice),Andy Samberg, ,(Voice),Benjamin Bratt, ,(Voice),Neil Patrick Harris, ,(Voice),Will Forte, ,(Voice),Lauren Graham* ,(Voice)","Phil Lord,Chris Miller (II)",,Mark Mothersbaugh,9,2009,1.11,44439.2450305,159071822.217
Cloudy with a Chance of Meatballs 2,59,2013-09-27,122189438.34,2013-09-27,95.0,PG,Animation,Sony / Columbia,,,79560000.0,4001.0,"Bill Hader ,(Voice),Anna Faris, ,(Voice),James Caan* ,(Voice),Will Forte*, ,(Voice),Andy Samberg*, ,(Voice),Benjamin Bratt*, ,(Voice),Neil Patrick Harris*, ,(Voice),Terry Crews* ,(Voice),Kristen Schaal* ,(Voice)","John Francis Daley,Jonathan M. Goldstein,Erica Rivinoja",,Mark Mothersbaugh,9,2013,1.02,30539.7246538,157114640.622
Cloverfield,64,2008-01-18,88853760.63,2008-01-18,84.0,PG-13,Action Horror,Paramount,Matt Reeves,"J.J. Abrams,Bryan Burk",27750000.0,3411.0,"Mike Vogel,Lizzy Caplan,Jessica Lucas",Drew Goddard,,,1,2008,1.11,26049.1822427,57447005.3175
Coach Carter,57,2005-01-14,82063149.94,2005-01-14,134.0,PG-13,Sports Drama,Paramount,Thomas Carter,"Thomas Carter, ,(executive),Brian Robbins,Michael Tollin",36600000.0,2574.0,"Samuel L. Jackson,Channing Tatum,Ashanti Douglas","John Gatins,Mark Schwahn",,Trevor Rabin,1,2005,1.22,31881.5656333,82843039.7379
Coco Before Chanel,65,2009-09-25,6786355.74,2009-09-25,110.0,PG-13,Foreign,Sony Classics,,,25530000.0,307.0,"Audrey Tautou,Alessandro Nivola",,,,9,2009,1.11,22105.3932899,103145180.547
Code Name: The Cleaner,33,2007-01-05,9355277.6,2007-01-05,84.0,PG-13,Action Comedy,New Line,,"David Brewington ,(co-executive),Cedric the Entertainer,Jay Stern",23000000.0,1736.0,"Cedric the Entertainer,Lucy Liu,Elizabeth Hurley",George Gallo,,,1,2007,1.15,5388.98479263,88503387.01
Cold Mountain,73,2003-12-25,123371096.61,2003-12-25,155.0,R,War Romance,Miramax,Anthony Minghella,"Albert Berger,Sydney Pollack,Ron Yerxa",101910000.0,2802.0,"Jude Law,Nicole Kidman,Renee Zellweger,Brendan Gleeson,Philip Seymour Hoffman*,Natalie Portman*,Giovanni Ribisi*,Donald Sutherland*,Ray Winstone*,Jena Malone*,Lucas Black*,Cillian Murphy*","Anthony Minghella, ,(screenplay),Charles Frazier ,(book)",,Gabriel Yared,12,2003,1.29,44029.6561777,100920329.0
Collateral,71,2004-08-06,127267185.78,2004-08-06,125.0,R,Crime,DreamWorks,Michael Mann,"Frank Darabont, ,(executive),Michael Mann",81900000.0,3205.0,"Tom Cruise,Jamie Foxx,Jada Pinkett-Smith,Mark Ruffalo,Peter Berg,Bruce McGill,Javier Bardem*,Jason Statham*",Stuart Beattie,,James Newton Howard,8,2004,1.26,39708.9503214,133717339.884
Collateral Damage,33,2002-02-08,52901979.24,2002-02-08,108.0,R,Action,Warner Bros.,Andrew Davis,,112200000.0,2824.0,"Arnold Schwarzenegger,John Leguizamo",,,Graeme Revell,2,2002,1.32,18732.9954816,87302910.526
Colombiana,45,2011-08-26,38865805.24,2011-08-26,107.0,PG-13,Action,TriStar,Olivier Megaton,Luc Besson,42400000.0,2614.0,"Zoe Saldana,Michael Vartan","Luc Besson,Robert Mark Kamen",,,8,2011,1.06,14868.3264116,73814155.2311
Committed,44,2000-04-28,55698.18,2000-04-28,98.0,R,Unknown,Miramax,,,4140000.0,13.0,"Heather Graham,Casey Affleck,Luke Wilson,Goran Visnjic,Mark Ruffalo",,,,4,2000,1.38,4284.47538462,121271455.057
Company Man,18,2001-02-16,195898.62,2001-03-09,81.0,PG-13,Unknown,Paramount Classics,Douglas McGrath,"Susan Cartsonis, ,(co-executive)",21440000.0,104.0,"Ryan Phillippe*,Sigourney Weaver",,,,3,2001,1.34,1883.64057692,74873885.4114
Con Air,52,1997-06-06,101117573.0,1997-06-06,115.0,R,Action,Buena Vista,Simon West,Jerry Bruckheimer,75000000.0,2941.0,"Nicolas Cage,John Cusack,John Malkovich,Ving Rhames,Steve Buscemi,Colm Meaney,Dave Chappelle,Danny Trejo",,,"Mark Mancina,Trevor Rabin",6,1997,1.0,34382.0377423,58883840.0
Confessions of a Dangerous Mind,67,2002-12-31,21130187.76,2002-12-31,113.0,R,Comedy Thriller,Miramax,George Clooney,"Andrew Lazar,Steven Soderbergh, ,(executive)",39600000.0,1776.0,"Sam Rockwell,Drew Barrymore,George Clooney,Julia Roberts,Rutger Hauer,Maggie Gyllenhaal*,Matt Damon*, ,(Cameo),Brad Pitt*, ,(Cameo),Michael Cera*",Charlie Kaufman,Newton Thomas Sigel,Alex Wurman,12,2002,1.32,11897.6282432,126936213.082
Confidence,59,2003-04-25,15804615.6,2003-04-25,98.0,R,Crime Thriller,Lions Gate,James Foley,,19350000.0,1871.0,"Edward Burns,Rachel Weisz,Morris Chestnut,Paul Giamatti,Donal Logue,Luis Guzman,Dustin Hoffman",,,Christophe Beck,4,2003,1.29,8447.14890433,154103670.605
Connie and Carla,44,2004-04-16,10188071.46,2004-04-16,97.0,PG-13,Comedy,Universal,Michael Lembeck,"Gary Barber,Roger Birnbaum,Jonathan Glickman,Tom Hanks,Peter Safran, ,(executive),Nia Vardalos, ,(executive)",34020000.0,1016.0,"Nia Vardalos,Toni Collette,David Duchovny",Nia Vardalos,,Randy Edelman,4,2004,1.26,10027.6293898,318698434.56
Constantine,50,2005-02-18,92690937.16,2005-02-18,121.0,R,Horror,Warner Bros.,Francis Lawrence,"Gilbert Adler, ,(executive),Lorenzo di Bonaventura,Lauren Schuler Donner,Akiva Goldsman,Erwin Stoff",122000000.0,3006.0,"Keanu Reeves,Rachel Weisz,Shia LaBeouf,Djimon Hounsou,Tilda Swinton",,,"Klaus Badelt,Brian Tyler",2,2005,1.22,30835.3084365,134701884.075
Contact,62,1997-07-11,100920329.0,1997-07-11,150.0,PG,Sci-Fi,Warner Bros.,Robert Zemeckis,"Lynda Obst, ,(executive)",90000000.0,2314.0,"Jodie Foster,Matthew McConaughey,Angela Bassett*,Rob Lowe*,Jena Malone*",Michael Goldenberg,Don Burgess,Alan Silvestri,7,1997,1.0,43612.9338807,130742922.0
Contraband,51,2012-01-13,69189120.0,2012-01-13,110.0,R,Thriller,Universal,Baltasar Kormakur,"Tim Bevan,Eric Fellner,Bill Johnson, ,(executive),Baltasar Kormakur,Stephen Levinson,Mark Wahlberg",26000000.0,2870.0,"Mark Wahlberg,Kate Beckinsale,Giovanni Ribisi,Ben Foster,Lukas Haas,Diego Luna,J.K. Simmons",Aaron Guzikowski,,Clinton Shorter,1,2012,1.04,24107.7073171,228685816.483
Conversations with Other Women,62,2006-08-11,447713.24,2006-08-11,84.0,R,Drama,Fabrication Films,,Ram Bergman,531000.0,14.0,"Aaron Eckhart,Helena Bonham Carter,Olivia Wilde",,,,8,2006,1.18,31979.5171429,93298842.7963
Conviction,61,2010-10-15,7393610.61,2010-10-15,107.0,R,Drama,Fox Searchlight,Tony Goldwyn,"Hilary Swank, ,(executive)",13625000.0,672.0,"Hilary Swank,Sam Rockwell,Juliette Lewis,Minnie Driver,Clea DuVall,Peter Gallagher,Melissa Leo",,,,10,2010,1.09,11002.3967411,112558626.95
Cookie's Fortune,70,1999-04-02,15616377.92,1999-04-02,118.0,PG-13,Comedy,October,Robert Altman,,14300000.0,559.0,"Glenn Close,Julianne Moore,Liv Tyler,Chris O'Donnell",,Toyomichi Kurita,,4,1999,1.43,27936.2753488,145678153.5
Cop Land,64,1997-08-15,44862187.0,1997-08-15,105.0,R,Crime Drama,Miramax,James Mangold,Cathy Konrad,15000000.0,2233.0,"Robert DeNiro,Sylvester Stallone",James Mangold,,Howard Shore,8,1997,1.0,20090.5450067,51222810.1667
