movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
Boys Life 2,532654,1997-03-07 00:00:00,79,Unrated,Unknown,Strand,,,N/A,6,Seth Green*,,,
Boys Life 3,208538,2000-12-08 00:00:00,78,Unrated,Unknown,Strand,,,N/A,8,,,,
Boys Life 4: Four Play,53169,2003-08-01 00:00:00,82,Unrated,Unknown,Strand,,,N/A,3,,,,
The Boys of Baraka,323860,2005-11-30 00:00:00,84,R,Documentary,ThinkFilm,,,N/A,9,,,,
Boys on the Side,23440188,1995-02-03 00:00:00,117,R,Comedy / Drama,Warner Bros.,Herbert Ross,"Arnon Milchan,Don Roos, ,(executive)",N/A,"1,552","Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Matthew McConaughey",Don Roos,,
Boys Town,,1938-09-08 00:00:00,93,Unrated,Drama,MGM,Norman Taurog,John W. Considine,N/A,,"Spencer Tracy,Mickey Rooney,Henry Hull,Leslie Fenton,Addison Richards,Gene Reynolds,Edward Norris","Dore Schary,John Meehan,Eleanore Griffin ,(story)",Sidney Wagner,Edward Ward
The Boys: The Sherman Brothers' Story,55513,2009-05-22 00:00:00,101,PG,Documentary,Buena Vista,,Ben Stiller,N/A,5,,,,
Boyz N the Hood,57504069,1991-07-12 00:00:00,107,R,Crime Drama,Columbia,John Singleton,,$6.5 million,931,"Morris Chestnut,Laurence Fishburne,Cuba Gooding, Jr.,Nia Long,Ice Cube,Angela Bassett",,,
Bra Boys,155056,2008-04-11 00:00:00,90,R,Documentary,Slowhand Cinema,,,N/A,23,"Russell Crowe*, ,(Narrator)",,,
The Bracelet of Bordeaux,,2009-05-18 00:00:00,90,PG,Family,"Monterey Media, Inc.",,,N/A,,,,,
Braddock: Missing in Action III,6193901,1988-01-22 00:00:00,101,R,Action,Cannon Films,,,N/A,"1,040",,,,
The Brady Bunch Movie,46576136,1995-02-17 00:00:00,88,PG-13,Comedy,Paramount,Betty Thomas,,N/A,"1,941",Christine Taylor,,,
