movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score,director_score,writers_score,composers_score,cinematographers_score
The Rundown,59,2003-09-26,61566981.18,2003-09-26,104.0,PG-13,Action Comedy,Universal,Peter Berg,"Marc Abraham,Kevin Misher",109650000.0,3154.0,"Ewen Bremner,Dwayne Johnson,Seann William Scott,Rosario Dawson,Christopher Walken",James Vanderbilt,Tobias A. Schliessler,Harry Gregson-Williams,9,2003,1.29,19520.2857261,148772140.553,120182141.64,9898412.0,41991300.84,95801095.826,21148675.26
The Village,44,2004-07-30,143888875.2,2004-07-30,108.0,PG-13,Period Horror,Buena Vista,M. Night Shyamalan,"Sam Mercer,Scott Rudin,M. Night Shyamalan",75600000.0,3733.0,"Joaquin Phoenix,Bryce Dallas Howard,Adrien Brody,Sigourney Weaver,Brendan Gleeson,Jesse Eisenberg,M. Night Shyamalan*",M. Night Shyamalan,Roger Deakins,James Newton Howard,7,2004,1.26,38545.1045272,283915200.753,217437565.952,213006944.315,210455670.414,102091207.987,41944365.9317
Tropic Thunder,71,2008-08-13,122671997.43,2008-08-13,107.0,R,Action Comedy,Paramount (DreamWorks),Ben Stiller,Ben Stiller,102120000.0,3473.0,"Ben Stiller,Jack Black,Robert Downey, Jr.,Steve Coogan,Jay Baruchel,Danny McBride,Brandon T. Jackson,Bill Hader,Nick Nolte,Matthew McConaughey*,Tom Cruise*","Justin Theroux,Ben Stiller,Etan Cohen",John Toll,Theodore Shapiro,8,2008,1.11,35321.6232162,281566413.48,79080575.875,60385555.0,60530815.0,86650690.9746,64893760.2167
Twilight,56,2008-11-21,213974537.94,2008-11-21,120.0,PG-13,Romance,Summit Entertainment,Catherine Hardwicke,"Marty Bowen, ,(executive),Wyck Godfrey,Karen Rosenfelt, ,(executive)",41070000.0,3649.0,"Kristen Stewart,Robert Pattinson,Billy Burke,Peter Facinelli,Elizabeth Reaser,Cam Gigandet,Ashley Greene,Anna Kendrick*,Nikki Reed*,Taylor Lautner*,Kellan Lutz*,Jackson Rathbone*,Sarah Clarke*",Melissa Rosenberg,Elliot Davis,Carter Burwell,11,2008,1.11,58639.226621,353815903.92,198559881.45,21364078.93,77087182.78,39732500.2426,25619650.3858
Watchmen,56,2009-03-06,119335876.89,2009-03-06,163.0,R,Action / Adventure,Warner Bros.,Zack Snyder,"Lawrence Gordon,Lloyd Levin,Deborah Snyder,Thomas Tull, ,(executive)",144300000.0,3611.0,"Malin Akerman,Billy Crudup,Matthew Goode,Jackie Earle Haley,Jeffrey Dean Morgan,Patrick Wilson","David Hayter,Alex Tse",Larry Fong,Tyler Bates,3,2009,1.11,33047.8750734,61750179.2,242207179.85,158286792.835,204846952.12,54396998.55,121120001.365
What Planet Are You From?,41,2000-03-03,8682410.76,2000-03-03,107.0,R,Sci-Fi Comedy,Sony / Columbia,Mike Nichols,"Brad Grey, ,(executive),Mike Nichols",82800000.0,2248.0,"Garry Shandling,Annette Bening,John Goodman,Greg Kinnear,Ben Kingsley,Judy Greer","Ed Solomon,Peter Tolan",Michael Ballhaus,Carter Burwell,3,2000,1.38,3862.28236655,130531208.0,59770039.6667,39001187.0,152846490.94,43770517.257,71681279.5471
Without a Paddle,29,2004-08-20,73293352.02,2004-08-20,99.0,PG-13,Comedy,Paramount,Steven Brill,"Donald De Line,Richard Vane, ,(executive)",23940000.0,2756.0,"Seth Green,Matthew Lillard,Dax Shepard","Fred Wolf, ,(story)",Jonathan Brown,Christophe Beck,8,2004,1.26,26594.1045065,154586261.93,90828812.5033,110584373.07,131391339.725,69965128.3615,105017574.26
X-Men: The Last Stand,58,2006-05-26,276547705.16,2006-05-26,104.0,PG-13,Action / Adventure,Fox,Brett Ratner,"Avi Arad, ,(executive),Lauren Schuler Donner,Kevin Feige, ,((executive)),Stan Lee, ,(executive),Ralph Winter",247800000.0,3714.0,"Hugh Jackman,Halle Berry,Ian McKellen,Famke Janssen,Anna Paquin,Kelsey Grammer,Rebecca Romijn,James Marsden,Ben Foster*,Patrick Stewart,Ellen Page*","Simon Kinberg,Zak Penn","Dante Spinotti, ,(director of photography)",John Powell,5,2006,1.18,74460.8791492,264538091.436,203327976.229,141499397.416,227330260.38,101110163.153,128871885.51
X2: X-Men United,68,2003-05-02,277285105.26,2003-05-02,134.0,PG-13,Action / Adventure,Fox,Bryan Singer,"Avi Arad, ,(executive),Tom DeSanto, ,(executive),Lauren Schuler Donner,Kevin Feige,Stan Lee, ,(executive),Bryan Singer, ,(executive),Ralph Winter",141900000.0,3749.0,"Patrick Stewart,Hugh Jackman,Ian McKellen,Halle Berry,Famke Janssen,James Marsden,Anna Paquin,Rebecca Romijn,Brian Cox,Alan Cumming","Michael Dougherty,Dan Harris,David Hayter,Zak Penn*, ,(Story)",Newton Thomas Sigel,John Ottman,5,2003,1.29,73962.4180475,219192346.828,247736735.94,120207588.73,168627875.55,28374443.2011,72548449.058
You've Got Mail,57,1998-12-18,115821495.0,1998-12-18,119.0,PG,Romantic Comedy,Warner Bros.,Nora Ephron,"Lauren Schuler Donner,Nora Ephron",65000000.0,2948.0,"Tom Hanks,Meg Ryan,Greg Kinnear,Parker Posey,Chris Messina*","Delia Ephron,Nora Ephron",John Lindley,George Fenton,12,1998,1.0,39288.1597693,145597975.333,39813270.0,126680884.0,126680884.0,20417713.6667,71091713.0
