movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score,director_score,writers_score,composers_score,cinematographers_score
King Arthur,46,2004-07-07,65371627.44,2004-07-07,130.0,PG-13,Period Adventure,Buena Vista,Antoine Fuqua,Jerry Bruckheimer,151200000.0,3086.0,"Clive Owen,Keira Knightley,Ioan Gruffudd,Stellan Skarsgard,Joel Edgerton,Ray Stevenson,Mads Mikkelsen,Hugh Dancy,Stephen Dillane,Til Schweiger",David Franzoni,Slawomir Idziak,Hans Zimmer,7,2004,1.26,21183.2882178,235495989.99,140698820.278,38783332.65,151631465.13,112310710.622,63703668.0267
King Kong,81,2005-12-14,266057630.5,2005-12-14,187.0,PG-13,Period Adventure,Universal,Peter Jackson,"Peter Jackson,Fran Walsh",252540000.0,3627.0,"Naomi Watts,Jack Black,Adrien Brody,Colin Hanks,Andy Serkis,Jamie Bell,Kyle Chandler","Philippa Boyens,Fran Walsh",Andrew Lesnie,James Newton Howard,12,2005,1.22,73354.7368348,335666631.13,451598601.643,339461234.983,451598601.643,109306014.763,343278916.233
Lady in the Water,36,2006-07-21,49896499.42,2006-07-21,110.0,PG-13,Fantasy Drama,Warner Bros.,M. Night Shyamalan,"Sam Mercer,M. Night Shyamalan",82600000.0,3235.0,"Paul Giamatti,Bryce Dallas Howard,Jeffrey Wright,M. Night Shyamalan,Freddy Rodriguez,Jared Harris*",M. Night Shyamalan,Christopher Doyle,James Newton Howard,7,2006,1.18,15423.956544,97525162.9333,191973493.3,199183330.492,199361204.545,113708758.445,27009592.155
Lethal Weapon 4,37,1998-07-10,130444603.0,1998-07-10,127.0,R,Action Comedy,Warner Bros.,Richard Donner,"Joel Silver,Jim Van Wyck, ,(executive)",140000000.0,3117.0,"Mel Gibson,Danny Glover,Rene Russo,Chris Rock,Jet Li","Alfred Gough & Miles Millar*, ,(Story)",Andrzej Bartkowiak,Michael Kamen,7,1998,1.0,41849.4074431,123523175.0,115940627.0,103084205.667,50016394.0,60642500.3846,102184445.5
Man on Fire,47,2004-04-23,98168835.24,2004-04-21,146.0,R,Action Drama,Fox,Tony Scott,"Arnon Milchan,Tony Scott",88200000.0,2986.0,"Denzel Washington,Dakota Fanning,Radha Mitchell,Christopher Walken,Mickey Rourke*",Brian Helgeland,Paul Cameron,Harry Gregson-Williams,4,2004,1.26,32876.3681313,71527661.6389,55249307.8724,97557833.2,65203293.8367,85133764.9667,116885403.22
Memoirs of a Geisha,54,2005-12-09,70138419.76,2005-12-09,144.0,PG-13,Period Drama,Sony / Columbia,Rob Marshall,"Gary Barber, ,(executive),Roger Birnbaum, ,(executive),Bobby Cohen, ,(executive),Lucy Fisher,Steven Spielberg,Patricia Whitcher, ,(executive),Douglas Wick",103700000.0,1654.0,"Zhang Ziyi,Ken Watanabe,Michelle Yeoh,Gong Li","Robin Swicord,Doug Wright,Akiva Goldsman*",Dion Beebe,John Williams,12,2005,1.22,42405.3323821,196936786.775,165437742.538,225307523.76,33264808.75,218092403.444,225307523.76
Moneyball,87,2011-09-23,80141821.52,2011-09-23,126.0,PG-13,Sports Drama,Sony / Columbia,Bennett Miller,"Michael De Luca,Brad Pitt,Scott Rudin, ,(executive)",53000000.0,3018.0,"Brad Pitt,Jonah Hill,Philip Seymour Hoffman,Chris Pratt,Robin Wright Penn,Tammy Blanchard*","Aaron Sorkin,Steven Zaillian",Wally Pfister,Mychael Danna,9,2011,1.06,26554.6128297,112240777.899,65482856.3364,35075646.6,114088379.97,29717687.2147,212018881.403
Now You See Me,50,2013-05-31,120078468.78,2013-05-31,116.0,PG-13,Thriller,Lionsgate/Summit,Louis Leterrier,"Bobby Cohen, ,(executive)",76500000.0,3082.0,"Jesse Eisenberg,Isla Fisher,Morgan Freeman,Woody Harrelson,Mark Ruffalo,Dave Franco,Melanie Laurent,Michael Caine","Edward Ricourt,Ed Solomon,Boaz Yakin",Larry Fong,Brian Tyler,5,2013,1.02,38961.2163465,145804518.466,67204009.6775,102513185.823,94221391.078,85989553.397,106955272.296
Panic Room,65,2002-03-29,127244480.88,2002-03-29,112.0,R,Thriller,Sony / Columbia,David Fincher,"Cean Chaffin,Gavin Polone",63360000.0,3119.0,"Jodie Foster,Kristen Stewart,Forest Whitaker,Dwight Yoakam,Jared Leto",David Koepp,Darius Khondji,Howard Shore,3,2002,1.32,40796.5632831,95936647.2,52953045.86,69517411.2867,135476175.717,89217471.1256,32903711.1017
Pirates of the Caribbean: At World's End,50,2007-05-25,355833488.75,2007-05-25,168.0,PG-13,Period Adventure,Buena Vista,Gore Verbinski,Jerry Bruckheimer,345000000.0,4362.0,"Johnny Depp,Orlando Bloom,Keira Knightley,Chow Yun-Fat,Geoffrey Rush,Jack Davenport,Bill Nighy,Jonathan Pryce,Stellan Skarsgard,Tom Hollander,Naomie Harris","Ted Elliott,Terry Rossio",Dariusz Wolski,Hans Zimmer,5,2007,1.15,81575.7654172,313366575.431,156259124.373,205110744.443,208577687.633,123562766.268,255720092.28
Pirates of the Caribbean: Dead Man's Chest,53,2006-07-07,499512658.16,2006-07-07,151.0,PG-13,Period Adventure,Buena Vista,Gore Verbinski,Jerry Bruckheimer,265500000.0,4133.0,"Johnny Depp,Orlando Bloom,Keira Knightley,Jack Davenport,Bill Nighy,Jonathan Pryce,Stellan Skarsgard,Tom Hollander,Naomie Harris,Geoffrey Rush*, ,(Cameo)","Stuart Beattie,Ted Elliott,Terry Rossio",Dariusz Wolski,Hans Zimmer,7,2006,1.18,120859.583392,438232321.62,140814419.885,146230361.7,172210816.317,114220124.912,174455903.653
Pirates of the Caribbean: The Curse of the Black Pearl,63,2003-07-09,393983954.22,2003-07-09,135.0,PG-13,Period Adventure,Buena Vista,Gore Verbinski,Jerry Bruckheimer,180600000.0,3416.0,"Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce,Zoe Saldana*","Ted Elliott,Terry Rossio","Dariusz Wolski, ,(director of photography)","Klaus Badelt,Ramin Djawadi*, ,(Additional music)",7,2003,1.29,115334.881212,434215277.84,127972184.753,107312956.26,154502744.71,118570291.469,119755010.287
Prometheus,65,2012-06-08,131536167.36,2012-06-08,124.0,R,Sci-Fi Action,Fox,Ridley Scott,"Damon Lindelof, ,(executive),Ridley Scott,Tony Scott",135200000.0,3442.0,"Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,Patrick Wilson*","Damon Lindelof,Jon Spaihts",Dariusz Wolski,Marc Streitenfeld,6,2012,1.04,38215.039907,80419959.6657,196167652.575,102919974.205,106254984.06,74121369.23,230360829.527
Public Enemies,70,2009-07-01,107786128.2,2009-07-01,143.0,R,Crime Drama,Universal,Michael Mann,Kevin Misher,111000000.0,3336.0,"Johnny Depp,Christian Bale,Marion Cotillard,Giovanni Ribisi,Billy Crudup,Stephen Dorff,Rory Cochrane,Johnny Lang,David Wenham,Channing Tatum,Carey Mulligan*,Emilie de Ravin*","Ronan Bennett,Ann Biderman,Michael Mann",Dante Spinotti,Elliot Goldenthal,7,2009,1.11,32309.9904676,148606061.035,90151026.4133,79447066.248,67492036.365,62894166.2083,68147505.3283
Salt,65,2010-07-23,128959391.12,2010-07-23,99.0,PG-13,Action Thriller,Sony / Columbia,Phillip Noyce,"Lorenzo di Bonaventura,Mark Vahradian, ,(executive)",119900000.0,3612.0,"Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor","Brian Helgeland,Kurt Wimmer",Robert Elswit,James Newton Howard,7,2010,1.09,35703.0429457,85700548.0683,406738648.825,79451549.4925,66398938.3027,119743683.167,34741986.5082
Scary Movie 4,40,2006-04-14,107038531.6,2006-04-14,83.0,PG-13,Horror Comedy,Weinstein / Dimension,David Zucker,"Craig Mazin,Robert K. Weiss",53100000.0,3674.0,"Anna Faris,Regina Hall,Craig Bierko,Leslie Nielsen,Anthony Anderson,Bill Pullman*,Charlie Sheen*, ,(Cameo),Simon Rex*,James Earl Jones* ,(Cameo),Kevin Hart*","Jim Abrahams,Jason Friedberg*, ,(characters),Craig Mazin,Aaron Seltzer*, ,(characters)",Thomas E. Ackerman,James L. Venable,4,2006,1.18,29134.0586826,279923737.0,58508006.2117,82964947.1267,141904149.93,42647402.5814,62322877.175
Scream 2,63,1997-12-12,101363301.0,1997-12-12,120.0,R,Horror,Dimension Films,Wes Craven,Cathy Konrad,24000000.0,2688.0,"David Arquette,Neve Campbell,Courteney Cox,Sarah Michelle Gellar,Jamie Kennedy,Jerry O'Connell,Timothy Olyphant,Jada Pinkett-Smith,Liev Schreiber,Omar Epps,Luke Wilson*, ,(Cameo)",Kevin Williamson,Peter Deming,Marco Beltrami,12,1997,1.0,37709.5613839,103046663.0,51773688.6667,63625408.5,103046663.0,64263576.5,29556303.0
Scream 3,56,2000-02-04,123017581.5,2000-02-04,117.0,R,Horror,Dimension Films,Wes Craven,Cathy Konrad,55200000.0,3467.0,"David Arquette,Neve Campbell,Courteney Cox,Patrick Dempsey,Parker Posey,Scott Foley,Emily Mortimer,Lance Henriksen,Jenny McCarthy,Patrick Warburton,Liev Schreiber,Jamie Kennedy,Carrie Fisher*",Ehren Kruger,Peter Deming,Marco Beltrami,2,2000,1.38,35482.4290453,102204982.0,44444698.9757,62465762.855,35401333.11,65043102.6,38887972.262
Shall We Dance,47,2004-10-15,72941979.6,2004-10-15,95.0,PG-13,Music Drama,Miramax,Peter Chelsom,Simon Fields,63000000.0,2542.0,"Richard Gere,Jennifer Lopez,Susan Sarandon,Stanley Tucci",Audrey Wells,John de Borman,Gabriel Yared,10,2004,1.26,28694.720535,98817520.9011,72135339.41,9004763.82,85898659.7633,77786818.2167,23360062.3375
Silent Hill,30,2006-04-21,55439505.76,2006-04-21,120.0,R,Horror,Sony / Columbia,Christophe Gans,"Don Carmody,Samuel Hadida",59000000.0,2932.0,"Radha Mitchell,Sean Bean",Roger Avary,Dan Laustsen,Jeff Danna,4,2006,1.18,18908.4262483,147011514.82,40914822.9063,14863326.72,38990260.0267,23268335.62,42018807.68
Skyfall,81,2012-11-09,316534688.08,2012-11-09,143.0,PG-13,Action,Sony / Columbia,Sam Mendes,"Barbara Broccoli,Michael G. Wilson",208000000.0,3526.0,"Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Berenice Marlohe,Ben Whishaw,Albert Finney","John Logan,Neal Purvis,Robert Wade",Roger Deakins,Thomas Newman,11,2012,1.04,89771.6075099,156527130.849,194612069.593,90990942.63,162934906.102,105416020.678,51718755.7035
Spider-Man,73,2002-05-03,532892415.0,2002-05-03,121.0,PG-13,Action / Adventure,Sony / Columbia,Sam Raimi,"Ian Bryce,Stan Lee, ,(executive),Laura Ziskin,Avi Arad, ,(executive)",183480000.0,3876.0,"Tobey Maguire,Willem Dafoe,Kirsten Dunst,James Franco,Elizabeth Banks*",David Koepp,"Don Burgess, ,(director of photography)",Danny Elfman,5,2002,1.32,137485.143189,51285446.0175,163442139.5,34478146.1,134447213.863,126305647.351,201131148.868
Spider-Man 2,83,2004-06-30,470718139.5,2004-06-30,127.0,PG-13,Action / Adventure,Sony / Columbia,Sam Raimi,"Kevin Feige, ,((executive)),Stan Lee, ,(executive),Laura Ziskin,Avi Arad",252000000.0,4166.0,"Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina,J.K. Simmons,Elizabeth Banks*,Willem Dafoe*, ,(Cameo)","Michael Chabon,Alvin Sargent,Alfred Gough & Miles Millar*, ,(Story)",Bill Pope,"Danny Elfman,Christopher Young*, ,(Additional music)",6,2004,1.26,112990.431949,438232321.62,286592231.333,200616235.733,152582034.087,157874141.142,210112239.978
Spider-Man 3,59,2007-05-04,387009848.45,2007-05-04,140.0,PG-13,Action / Adventure,Sony / Columbia,Sam Raimi,"Kevin Feige, ,((executive)),Stan Lee, ,(executive),Laura Ziskin,Avi Arad",296700000.0,4324.0,"Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace,Bryce Dallas Howard,Elizabeth Banks*,Willem Dafoe*, ,(Cameo)",Alvin Sargent,Bill Pope,Christopher Young,5,2007,1.15,89502.7401596,406967605.94,273935452.724,268141711.675,189026940.91,55150561.9645,225412925.442
Sucker Punch,33,2011-03-25,38576052.12,2011-03-25,120.0,PG-13,Action,Warner Bros.,Zack Snyder,"Jon Jashni, ,(executive),Deborah Snyder,Zack Snyder,Thomas Tull, ,(executive)",86920000.0,3033.0,"Emily Browning,Abbie Cornish,Jena Malone,Vanessa Hudgens,Jamie Chung,Oscar Isaac,Carla Gugino,Scott Glenn,Jon Hamm*",Zack Snyder,Larry Fong,Tyler Bates,3,2011,1.06,12718.7774876,101529157.074,167264782.801,124148888.433,242207179.85,58059158.5362,120525293.207
Superman Returns,72,2006-06-28,236095806.56,2006-06-28,154.0,PG-13,Action / Adventure,Warner Bros.,Bryan Singer,"Gilbert Adler,Scott Mednick, ,(executive),Jon Peters,Bryan Singer,Thomas Tull, ,(executive)",318600000.0,4065.0,"Brandon Routh,Kate Bosworth,Kevin Spacey,James Marsden,Parker Posey,Frank Langella,Kal Penn","Michael Dougherty,Dan Harris",Newton Thomas Sigel,"John Ottman,John Williams*, ,(original themes)",6,2006,1.18,58080.1492153,149641279.74,150313336.63,172566760.907,277285105.26,353815903.92,98040742.3271
Talladega Nights: The Ballad of Ricky Bobby,66,2006-08-04,174891784.86,2006-08-04,110.0,PG-13,Sports Comedy,Sony / Columbia,Adam McKay,"Judd Apatow,Ryan Kavanaugh, ,(executive),Adam McKay, ,((executive))",85550000.0,3807.0,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Amy Adams,Michael Clarke Duncan,Gary Cole,Jane Lynch,Rob Riggle*","Will Ferrell,Adam McKay","Oliver Wood, ,(director of photography)",Alex Wurman,8,2006,1.18,45939.5284634,133528069.14,167577317.429,107463261.78,92352657.88,41443909.378,132153570.391
The Big Year,53,2011-10-14,7636386.28,2011-10-14,100.0,PG,Comedy,Fox,David Frankel,"Curtis Hanson,Karen Rosenfelt,Ben Stiller",43460000.0,2150.0,"Jack Black,Steve Martin,Owen Wilson,Jim Parsons,Rashida Jones,Rosamund Pike,Kevin Pollak,Anjelica Huston,Dianne Wiest,Anthony Anderson,Joel McHale,Tim Blake Nelson,Brian Dennehy",Howard Franklin,Larry Sher,Theodore Shapiro,10,2011,1.06,3551.80757209,112828105.932,214715495.594,147193742.8,13717039.0,76621837.7995,159012133.383
The Bourne Identity,68,2002-06-14,160593421.56,2002-06-14,118.0,PG-13,Action Thriller,Universal,Doug Liman,"Patrick Crowley,Doug Liman,Frank Marshall, ,(executive)",79200000.0,2663.0,"Matt Damon,Franka Potente,Chris Cooper,Clive Owen*,Brian Cox,Gabriel Mann,Julia Stiles*","Tony Gilroy,William Blake Herron",Oliver Wood,John Powell,6,2002,1.32,60305.453083,103062071.802,172248979.755,14392079.61,33067600.02,103206286.558,69085280.2833
The Bourne Ultimatum,85,2007-08-03,261591730.5,2007-08-03,111.0,PG-13,Action Thriller,Universal,Paul Greengrass,"Patrick Crowley,Doug Liman, ,(executive),Frank Marshall",126500000.0,3701.0,"Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine*,Albert Finney,Joan Allen","Tony Gilroy,George Nolfi,Scott Z. Burns",Oliver Wood,John Powell,8,2007,1.15,70681.3646312,116190864.192,166694005.729,129607658.33,112198366.815,112516376.224,104086406.623
The Brothers Grimm,51,2005-08-26,46257845.74,2005-08-26,120.0,PG-13,Adventure Comedy,Dimension Films,Terry Gilliam,Charles Roven,107360000.0,3098.0,"Matt Damon,Heath Ledger,Peter Stormare,Lena Headey,Jonathan Pryce,Monica Bellucci",Ehren Kruger,"Newton Thomas Sigel, ,(director of photography)",Dario Marianelli,8,2005,1.22,14931.5189606,180284105.61,126840193.768,9381699.0,71310184.6483,1520955.15,132430930.484
The Dark Knight,82,2008-07-18,592013347.38,2008-07-18,150.0,PG-13,Action / Adventure,Warner Bros.,Christopher Nolan,"Christopher Nolan,Emma Thomas,Thomas Tull, ,(executive)",205350000.0,4366.0,"Christian Bale,Heath Ledger,Aaron Eckhart,Morgan Freeman,Michael Caine,Gary Oldman,Maggie Gyllenhaal,Eric Roberts,Michael Jai White*,William Fichtner*,Cillian Murphy*","David S. Goyer, ,(story),Christopher Nolan,Jonathan Nolan",Wally Pfister,"James Newton Howard,Hans Zimmer",7,2008,1.11,135596.277458,134988125.707,154180410.205,87274840.772,133026811.901,134434837.569,114642153.978
The Dark Knight Rises,78,2012-07-20,466064662.96,2012-07-20,165.0,PG-13,Action Thriller,Warner Bros.,Christopher Nolan,"Christopher Nolan,Charles Roven,Emma Thomas,Thomas Tull, ,(executive)",260000000.0,4404.0,"Christian Bale,Michael Caine,Anne Hathaway,Tom Hardy,Gary Oldman,Marion Cotillard,Joseph Gordon-Levitt,Morgan Freeman,Matthew Modine,Juno Temple*,Cillian Murphy*,Liam Neeson*,Joey King*","David S. Goyer, ,(story),Christopher Nolan,Jonathan Nolan",Wally Pfister,Hans Zimmer,7,2012,1.04,105827.580145,300977618.553,243409200.143,192470800.541,592013347.38,149013428.985,195534248.918
The Departed,86,2006-10-06,156213491.7,2006-10-06,150.0,R,Crime Drama,Warner Bros.,Martin Scorsese,"Doug Davison, ,(executive),Roy Lee, ,(executive),Graham King,Brad Pitt,Martin Scorsese,Brad Grey,Gianni Nunnari, ,(executive)",106200000.0,3017.0,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Vera Farmiga,Anthony Anderson,Alec Baldwin,James Badge Dale*",William Monahan,Michael Ballhaus,Howard Shore,10,2006,1.18,51777.7566125,217292263.32,116888572.34,58792213.586,57826063.86,120096369.421,72058095.7258
The Forgotten,43,2004-09-24,84588221.34,2004-09-24,89.0,PG-13,Sci-Fi Thriller,Sony (Revolution),Joseph Ruben,Joe Roth,52920000.0,3144.0,Julianne Moore,Gerald Di Pego,Anastas N.  Michos,James Horner,9,2004,1.26,26904.6505534,51480176.604,67093324.7167,101599005.0,52260773.67,119413785.865,36307084.1471
