movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
Club Life,4444,2015-05-29 00:00:00,83,R,Drama,The Orchard,,,N/A,7,Jerry Ferrara,,,
Club Paradise,12308521,1986-07-11 00:00:00,96,PG-13,Comedy,Warner Bros.,Harold Ramis,Michael Shamberg,N/A,"1,186",Robin Williams,Harold Ramis,,
Clubland (1999),18529,1999-04-16 00:00:00,105,R,Music Drama,Legacy,,,N/A,60,,,,
Clue,14643997,1985-12-13 00:00:00,96,PG,Comedy Thriller,Paramount,,"John Landis, ,(executive),Jon Peters, ,(executive)",N/A,"1,022",,,,
Clueless,56631572,1995-07-21 00:00:00,97,PG-13,Comedy,Paramount,Amy Heckerling,Scott Rudin,N/A,"1,922","Alicia Silverstone,Paul Rudd,Brittany Murphy,Breckin Meyer",,Bill Pope,David Kitay
Coach Carter,67264877,2005-01-14 00:00:00,134,PG-13,Sports Drama,Paramount,Thomas Carter,"Thomas Carter, ,(executive),Brian Robbins,Michael Tollin",$30 million,"2,574","Samuel L. Jackson,Channing Tatum,Ashanti Douglas","John Gatins,Mark Schwahn",,Trevor Rabin
Coal Miner's Daughter,67182787,1980-03-07 00:00:00,125,PG,Music Drama,Universal,Michael Apted,,N/A,,"Sissy Spacek,Tommy Lee Jones",,,
Coast to Coast,4495445,1980-10-03 00:00:00,94,PG,Unknown,Paramount,,Steve Tisch,N/A,,,,,
Coastlines,7883,2006-05-31 00:00:00,119,R,Crime Drama,IFC,Victor Nunez,"John Sloss, ,(executive)",N/A,2,"Timothy Olyphant,Josh Brolin,Sarah Wynter,Scott Wilson,Angela Bettis,Josh Lucas,William Forsythe",,,
Cobb,1007583,1994-12-02 00:00:00,129,R,Sports Drama,Warner Bros.,,"Arnon Milchan, ,(executive producer)",N/A,4,Tommy Lee Jones,,,Elliot Goldenthal
Cobra,49042224,1986-05-23 00:00:00,87,R,Action,Warner Bros.,,,N/A,"2,131",Sylvester Stallone,Sylvester Stallone,,
Cobra Verde (re-issue),12702,2007-03-23 00:00:00,111,Unrated,Foreign,518 Media,Werner Herzog,,N/A,1,Klaus Kinski,Werner Herzog,,
Cocaine Cowboys,150056,2006-10-27 00:00:00,118,R,Documentary,Magnolia,,,N/A,14,,,,
The Cockettes,220165,2002-05-10 00:00:00,98,Unrated,Documentary,Strand,,,N/A,6,,,,
Cockfight,,2004-02-13 00:00:00,,R,Unknown,Echelon Ent.,,,N/A,10,,,,
Cockneys Vs. Zombies,,2013-08-02 00:00:00,88,Unrated,Horror Comedy,Shout! Factory,,,N/A,,,,,
Cocktail,78222753,1988-07-29 00:00:00,104,R,Romance,Buena Vista,Roger Donaldson,Ted Field,N/A,"1,462",Tom Cruise,,,
Cocktail (2012),1227789,2012-07-13 00:00:00,146,Unrated,Foreign,Eros,,,N/A,96,,,,
Coco,,2017-11-22 00:00:00,,Not Yet Rated,Animation,Buena Vista,Lee Unkrich,Darla K. Anderson,N/A,,,,,
Coco,,TBD,,Not Yet Rated,Music Drama,Lionsgate,RZA,,N/A,,Common,,,
Coco Before Chanel,6113834,2009-09-25 00:00:00,110,PG-13,Foreign,Sony Classics,,,$23 million,307,"Audrey Tautou,Alessandro Nivola",,,
Coco Chanel & Igor Stravinsky,1621226,2010-06-11 00:00:00,115,R,Foreign,Sony Classics,,,N/A,74,Mads Mikkelsen,,,
The Cocoanuts,,1929-08-03 00:00:00,96,Unrated,Comedy,Paramount,,Walter Wanger,N/A,,"Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,Oscar Shaw,Mary Eaton,Kay Francis,Margaret Dumont,Cyril Ring,Basil Ruysdael","Morrie Ryskind ,(adaptation & play),George S. Kaufman ,(play)",George J. Folsey,Irving Berlin
Cocoon,76113124,1985-06-21 00:00:00,117,PG-13,Sci-Fi Adventure,Fox,Ron Howard,,N/A,"1,163",,,,James Horner
Cocoon: The Return,18924919,1988-11-23 00:00:00,116,PG,Sci-Fi Adventure,Fox,,,N/A,997,Courteney Cox,,,James Horner
Code 46,285585,2004-08-06 00:00:00,92,R,Sci-Fi,United Artists,Michael Winterbottom,,N/A,21,Tim Robbins,,,
Code Black,190229,2014-06-20 00:00:00,78,Unrated,Documentary,Long Shot Factory,,,N/A,10,,,,
Code Name: Emerald,561548,1985-09-27 00:00:00,95,PG,War,MGM,,,N/A,195,"Ed Harris,Eric Stoltz,Patrick Stewart*",,,
Code Name: The Cleaner,8135024,2007-01-05 00:00:00,84,PG-13,Action Comedy,New Line,,"David Brewington ,(co-executive),Cedric the Entertainer,Jay Stern",$20 million,"1,736","Cedric the Entertainer,Lucy Liu,Elizabeth Hurley",George Gallo,,
Code Name: Wild Geese,600000,1986-08-29 00:00:00,101,R,Unknown,New World,,,N/A,,,,,Ennio Morricone
