movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score
22 Jump Street,71,2014-06-13,193636530.37,2014-06-13,112.0,R,Action Comedy,Sony / Columbia,,"Reid Carolin, ,(executive),Jonah Hill,Phil Lord, ,(executive),Chris Miller (II), ,(executive),Neal H. Moritz,Channing Tatum",50500000.0,3426.0,"Jonah Hill,Channing Tatum,Ice Cube,Peter Stormare,Nick Offerman,Dave Franco*,Rob Riggle*","Michael Bacall,Rodney Rothman,Oren Uziel",,Mark Mothersbaugh,6,2014,1.01,56519.7111413,260338298.92,131128003.76
25th Hour,67,2002-12-19,17271665.4,2002-12-19,134.0,R,Crime Drama,Buena Vista,Spike Lee,"Jon Kilik,Nick Wechsler, ,(executive)",6600000.0,495.0,"Edward Norton,Philip Seymour Hoffman,Barry Pepper,Rosario Dawson,Anna Paquin,Brian Cox",David Benioff,,Terence Blanchard,12,2002,1.32,34892.2533333,171762953.86,24106104.8733
27 Dresses,47,2008-01-18,85257605.94,2008-01-18,107.0,PG-13,Romantic Comedy,Fox,Anne Fletcher,"Roger Birnbaum,Gary Barber,Jonathan Glickman,Jeffrey Silver, ,(co-producer)",33300000.0,3074.0,"Katherine Heigl,James Marsden,Malin Akerman",Aline Brosh McKenna,,Randy Edelman,1,2008,1.11,27735.0702472,142331820.518,90310685.1146
3 Days to Kill,40,2014-02-21,31004978.99,2014-02-21,117.0,PG-13,Action Thriller,Relativity,McG,"Luc Besson,Adi Hasak,Ryan Kavanaugh,Virginie Silla,Tucker Tooley, ,(executive)",28280000.0,2872.0,"Kevin Costner,Hailee Steinfeld,Amber Heard,Connie Nielsen","Luc Besson,Adi Hasak",,,2,2014,1.01,10795.6054979,124813405.135,55191502.3324
30 Days of Night,53,2007-10-19,45504345.4,2007-10-19,113.0,R,Horror,Sony / Columbia,David Slade,Sam Raimi,34500000.0,2859.0,"Josh Hartnett,Melissa George,Danny Huston,Ben Foster",Stuart Beattie,,Brian Reitzell,10,2007,1.15,15916.175376,68520502.079,70740372.5325
30 Minutes or Less,49,2011-08-12,39277159.44,2011-08-12,83.0,R,Action Comedy,Sony / Columbia,Ruben Fleischer,Ben Stiller,29680000.0,2888.0,"Jesse Eisenberg,Aziz Ansari,Danny McBride,Nick Swardson,Michael Pena,Fred Ward",Michael Diliberti,,"Nathan Barr,Ludwig Goransson",8,2011,1.06,13600.1244598,110765907.444,94866091.5563
300,52,2007-03-09,242207179.85,2007-03-09,117.0,R,Period Action,Warner Bros.,Zack Snyder,"Scott Mednick, ,(executive),Gianni Nunnari,Mark Canton,Bernie Goldmann,Jeffrey Silver,Deborah Snyder, ,(executive),Thomas Tull, ,(executive)",74750000.0,3280.0,"Gerard Butler,Lena Headey,Dominic West,David Wenham,Michael Fassbender,Rodrigo Santoro","Michael B. Gordon,Kurt Johnstad,Frank Miller, ,(comic book),Zack Snyder",Larry Fong,Tyler Bates,3,2007,1.15,73843.6523933,46217285.985,134651998.93
3000 Miles to Graceland,21,2001-02-23,21104945.06,2001-02-23,125.0,R,Action Comedy,Warner Bros.,,"Don Carmody, ,(executive producer)",83080000.0,2545.0,"Kurt Russell,Kevin Costner,Courteney Cox,Christian Slater,Kevin Pollak,David Arquette,Jon Lovitz,Thomas Haden Church*",,,,2,2001,1.34,8292.70925737,109142515.167,57688784.4063
42,62,2013-04-12,96920617.26,2013-04-12,128.0,PG-13,Sports Drama,Warner Bros.,Brian Helgeland,"Jason Clark, ,(executive),Jon Jashni, ,(executive),Thomas Tull",40800000.0,3405.0,"Chadwick Boseman,Harrison Ford,Alan Tudyk,Christopher Meloni,Lucas Black,John C. McGinley",Brian Helgeland,,Mark Isham,4,2013,1.02,28464.2047753,205877072.653,177387447.722
47 Ronin,28,2013-12-25,39129724.5,2013-12-25,127.0,PG-13,Action Drama,Universal,Carl Rinsch,"Pamela Abdy,Erwin Stoff, ,(executive),Scott Stuber, ,(executive)",178500000.0,2690.0,Keanu Reeves,"Hossein Amini,Chris Morgan",,Ilan Eshkeri,12,2013,1.02,14546.3659851,101371988.475,124374711.589
